Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating
Transformer: Rise of the Dark Spark,X360,2014,Action,Activision,0-1,0-1,0-1,0-1,0-1,,,,,,
Shaun White Skateboarding,X360,2010,Sports,Ubisoft,0-1,0-1,0-1,0-1,0-1,60-61,33-34,5.0,0-500,Ubisoft Montreal,T
Dragon Ball: Origins 2,DS,2010,Action,Namco Bandai Games,0-1,0-1,0-1,0-1,0-1,69-70,21-22,,,Game Republic,T
Psychic Force,PS,1996,Fighting,Acclaim Entertainment,0-1,0-1,0-1,0-1,0-1,,,,,,
Trigger Man,PS2,2004,Shooter,Play It,0-1,0-1,0-1,0-1,0-1,31-32,3-4,5.0,0-500,Point of View,T
StarBlade α,PS,1995,Shooter,Sony Computer Entertainment,0-1,0-1,0-1,0-1,0-1,,,,,,
Kidou Senshi Gundam: Giren no Yabou - Axis no Kyoui,PSP,2008,Strategy,Namco Bandai Games,0-1,0-1,0-1,0-1,0-1,,,,,,
Wildstar,PC,2014,Role-Playing,NCSoft,0-1,0-1,0-1,0-1,0-1,81-82,51-52,7.0,500-1000,Carbine Studios,T
Family Party: 30 Great Games Outdoor Fun,Wii,2009,Misc,D3Publisher,0-1,0-1,0-1,0-1,0-1,,,,,Tamsoft,E10+
Tiger Woods PGA Tour 2004,GC,2003,Sports,Electronic Arts,0-1,0-1,0-1,0-1,0-1,88-89,15-16,8.0,0-500,EA Sports,E
Rudolph the Red-Nosed Reindeer,DS,2010,Action,Crave Entertainment,0-1,0-1,0-1,0-1,0-1,,,,,Crave,E
Spider-Man: Web of Shadows - Amazing Allies Edition,PSP,2008,Action,Activision,0-1,0-1,0-1,0-1,0-1,,,,,,
Culdcept,3DS,2012,Misc,Nintendo,0-1,0-1,0-1,0-1,0-1,,,,,,
Amped 3,X360,2005,Sports,Take-Two Interactive,0-1,0-1,0-1,0-1,0-1,71-72,48-49,7.0,0-500,2K Sports,T
MX 2002 Featuring Ricky Carmichael,GBA,2001,Racing,THQ,0-1,0-1,0-1,0-1,0-1,,,,,,
Innocent Life: A Futuristic Harvest Moon,PSP,2006,Simulation,Rising Star Games,0-1,0-1,0-1,0-1,0-1,66-67,21-22,8.0,0-500,ArtePiazza,E
Halo Triple Pack,XB,2005,Shooter,Microsoft Game Studios,0-1,0-1,0-1,0-1,0-1,,,,,,
Street Racer,PS,1996,Racing,Ubisoft,0-1,0-1,0-1,0-1,0-1,,,,,,
Bomberman Land Touch! 2,DS,2007,Puzzle,Rising Star Games,0-1,0-1,0-1,0-1,0-1,,,,,,
NBA 2K3,GC,2002,Sports,Sega,0-1,0-1,0-1,0-1,0-1,83-84,10-11,,,Visual Concepts,E
Harvest Moon: The Lost Valley,3DS,2014,Simulation,Natsume,0-1,0-1,0-1,0-1,0-1,,,,,,
NHL 2005,XB,2004,Sports,Electronic Arts,0-1,0-1,0-1,0-1,0-1,76-77,26-27,6.0,0-500,EA Sports,E
Arcana Heart,PS2,2007,Fighting,AQ Interactive,0-1,0-1,0-1,0-1,0-1,76-77,11-12,8.0,0-500,Examu,T
World Soccer Winning Eleven 2010: Aoki Samurai no Chousen,PSP,2010,Sports,Konami Digital Entertainment,0-1,0-1,0-1,0-1,0-1,,,,,,
Battlestar Galactica,PS2,2003,Shooter,Vivendi Games,0-1,0-1,0-1,0-1,0-1,65-66,21-22,7.0,0-500,Warthog,T
Time Hollow,DS,2008,Adventure,Konami Digital Entertainment,0-1,0-1,0-1,0-1,0-1,63-64,23-24,8.0,0-500,Tenky,T
Medieval Games,Wii,2009,Action,Vir2L Studios,0-1,0-1,0-1,0-1,0-1,,,6.0,0-500,N-Fusion Interactive Entertainment Corp.,E10+
Kingdom Hearts: Birth by Sleep - Final Mix,PSP,2011,Role-Playing,Square Enix,0-1,0-1,0-1,0-1,0-1,,,,,,
Tak and the Guardians of Gross,Wii,2008,Action,THQ,0-1,0-1,0-1,0-1,0-1,62-63,4-5,8.0,0-500,THQ,E10+
Yu-Gi-Oh! 5D's: Duel Transer,Wii,2010,Strategy,Konami Digital Entertainment,0-1,0-1,0-1,0-1,0-1,,,,,,
