Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating
Major League Baseball 2K12,PC,2012,Sports,Take-Two Interactive,0-1,0-1,0-1,0-1,0-1,,,6.0,0-500,Visual Concepts,E
Watashi no Relaxuma,DS,2007,Simulation,Rocket Company,0-1,0-1,0-1,0-1,0-1,,,,,,
Phantom Kingdom Portable,PSP,2011,Role-Playing,Nippon Ichi Software,0-1,0-1,0-1,0-1,0-1,,,,,,
Pac-Man World Rally,PSP,2006,Racing,Namco Bandai Games,0-1,0-1,0-1,0-1,0-1,50-51,8-9,,,Smart Bomb Interactive,E
Way of the Samurai 2 Portable,PSP,2009,Action,Spike,0-1,0-1,0-1,0-1,0-1,,,,,,
Challenge Me: Maths Workout,DS,2009,Puzzle,Oxygen Interactive,0-1,0-1,0-1,0-1,0-1,,,,,,
Code Geass: Hangyaku no Lelouch R2 - Banjou no Geass Gekijou,DS,2008,Misc,Namco Bandai Games,0-1,0-1,0-1,0-1,0-1,,,,,,
Hellboy: The Science of Evil,PSP,2008,Action,Konami Digital Entertainment,0-1,0-1,0-1,0-1,0-1,41-42,13-14,7.0,0-500,Krome Studios,T
Mortimer Beckett and the Secrets of Spooky Manor,Wii,2008,Puzzle,Avanquest,0-1,0-1,0-1,0-1,0-1,55-56,3-4,,,Paprikari,E
Little Busters! Converted Edition,PSP,2010,Adventure,Prototype,0-1,0-1,0-1,0-1,0-1,,,,,,
Unison: Rebels of Rhythm & Dance,PS2,2000,Misc,Tecmo Koei,0-1,0-1,0-1,0-1,0-1,,,,,,
Tennis no Oji-Sama: DokiDoki Survival - Umibe no Secret,PS2,2007,Sports,Konami Digital Entertainment,0-1,0-1,0-1,0-1,0-1,,,,,,
WTF: Work Time Fun,PSP,2005,Puzzle,Sony Computer Entertainment,0-1,0-1,0-1,0-1,0-1,,,,,,
The Sims Deluxe,PC,2002,Simulation,Electronic Arts,0-1,0-1,0-1,0-1,0-1,91-92,5-6,8.0,0-500,Maxis,T
Fashion Week Jr. Designer,DS,2009,Simulation,505 Games,0-1,0-1,0-1,0-1,0-1,,,,,505 Games,E
B.L.U.E.: Legend of Water,PS,N/A,Adventure,N/A,0-1,0-1,0-1,0-1,0-1,,,,,,
Dark Half,SNES,1996,Role-Playing,Enix Corporation,0-1,0-1,0-1,0-1,0-1,,,,,,
Horses 3D,3DS,2012,Misc,Ubisoft,0-1,0-1,0-1,0-1,0-1,,,6.0,0-500,Neko Entertainment,E
LEGO Indiana Jones: The Original Adventures,PC,2008,Action,LucasArts,0-1,0-1,0-1,0-1,0-1,77-78,13-14,8.0,0-500,Traveller's Tales,E10+
Bullet Girls 2,PSV,2016,Action,D3Publisher,0-1,0-1,0-1,0-1,0-1,,,,,,
The Sims 2: Pets,PC,2006,Simulation,Electronic Arts,0-1,0-1,0-1,0-1,0-1,75-76,22-23,8.0,0-500,Maxis,T
Deadliest Warrior: Ancient Combat,X360,2012,Fighting,Cloud Imperium Games Corporation,0-1,0-1,0-1,0-1,0-1,36-37,4-5,6.0,0-500,"Pipeworks Software, Inc.",M
Zoo Quest: Puzzle Fun!,DS,2008,Puzzle,JoWood Productions,0-1,0-1,0-1,0-1,0-1,,,,,,
Civilization Beyond Earth: Rising Tide,PC,2015,Strategy,Take-Two Interactive,0-1,0-1,0-1,0-1,0-1,,,,,,
Hayate no Gotoku! Ojousama Produce Daisakusen Boku Iro ni Somare! Gakkou-Hen,DS,2008,Simulation,Konami Digital Entertainment,0-1,0-1,0-1,0-1,0-1,,,,,,
Nobunaga's Ambition: Sphere of Influence - Sengoku Risshiden,PSV,2016,Misc,Tecmo Koei,0-1,0-1,0-1,0-1,0-1,,,,,,
Shukufuku no Campanella Portable,PSP,2010,Adventure,Kadokawa Shoten,0-1,0-1,0-1,0-1,0-1,,,,,,
The Kore Gang,Wii,2010,Platform,Flashpoint Games,0-1,0-1,0-1,0-1,0-1,69-70,9-10,9.0,0-500,Snap Dragon Games,E10+
National Geographic Challenge!,PS3,2011,Misc,Black Bean Games,0-1,0-1,0-1,0-1,0-1,,,,,,
Duke Nukem Trilogy: Critical Mass,DS,2011,Shooter,Deep Silver,0-1,0-1,0-1,0-1,0-1,,,,,,
Beastly Frantic Foto,DS,2011,Puzzle,Storm City Games,0-1,0-1,0-1,0-1,0-1,,,,,7Raven Studios,E
Chaos;Head - Love Chu*Chu!,PSP,2011,Adventure,5pb,0-1,0-1,0-1,0-1,0-1,,,,,,
Yourself Fitness,PS2,2005,Sports,responDESIGN,0-1,0-1,0-1,0-1,0-1,,,,,,
Rugby Challenge 3,PS4,2016,Sports,Alternative Software,0-1,0-1,0-1,0-1,0-1,63-64,3-4,7.0,0-500,Wicked Witch Software,E
Dungeon Raiders,DS,2009,Role-Playing,Focus Home Interactive,0-1,0-1,0-1,0-1,0-1,,,,,Cyanide,E10+
Romance of the Three Kingdoms 13,PS3,2015,Action,Tecmo Koei,0-1,0-1,0-1,0-1,0-1,,,,,,
Blood Bowl,PC,2009,Sports,Focus Home Interactive,0-1,0-1,0-1,0-1,0-1,71-72,33-34,6.0,0-500,Cyanide,T
Port Royale 2,PC,2004,Strategy,Ascaron Entertainment GmbH,0-1,0-1,0-1,0-1,0-1,74-75,19-20,8.0,0-500,Ascaron Entertainment GmbH,T
Star Trek: Shattered Universe,XB,2004,Simulation,Global Star,0-1,0-1,0-1,0-1,0-1,40-41,20-21,4.0,0-500,Starsphere Interactive,E
Company of Heroes: Tales of Valor,PC,2009,Strategy,THQ,0-1,0-1,0-1,0-1,0-1,69-70,41-42,7.0,0-500,Relic,M
12Riven: The Psi-Climinal of Integral,PS2,2008,Adventure,CyberFront,0-1,0-1,0-1,0-1,0-1,,,,,,
Battle Spirits: Digital Starter,DS,2010,Role-Playing,Namco Bandai Games,0-1,0-1,0-1,0-1,0-1,,,,,,
Farm Frenzy 3,PC,2009,Strategy,Alawar Entertainment,0-1,0-1,0-1,0-1,0-1,,,,,"Alawar Entertainment, Inc, Alawar Entertainment",E
Guilty Gear XX Accent Core,Wii,2007,Fighting,505 Games,0-1,0-1,0-1,0-1,0-1,74-75,14-15,8.0,0-500,Arc System Works,T
Lionel Trains: On Track,DS,2006,Action,DSI Games,0-1,0-1,0-1,0-1,0-1,46-47,3-4,,,Black Lantern Studios,E
WarJetz,PS2,2001,Shooter,3DO,0-1,0-1,0-1,0-1,0-1,58-59,8-9,6.0,0-500,3DO,T
Breeding Stud 2,PS,1998,Sports,Konami Digital Entertainment,0-1,0-1,0-1,0-1,0-1,,,,,,
Banushi Life Game: Winner's Circle,DS,2007,Sports,Genki,0-1,0-1,0-1,0-1,0-1,,,,,,
Stellaris,PC,2016,Strategy,Paradox Interactive,0-1,0-1,0-1,0-1,0-1,77-78,56-57,8.0,500-1000,Paradox Development Studio,
Gakuen Hetalia Portable,PSP,2011,Adventure,Idea Factory,0-1,0-1,0-1,0-1,0-1,,,,,,
Catwoman,GBA,2004,Action,Electronic Arts,0-1,0-1,0-1,0-1,0-1,60-61,6-7,,,Magic Pockets,T
Devil May Cry 4,PC,2008,Action,Capcom,0-1,0-1,0-1,0-1,0-1,77-78,20-21,8.0,0-500,Capcom,M
Chibi Maruko-Chan DS: Maru-Chan no Machi,DS,2009,Puzzle,Namco Bandai Games,0-1,0-1,0-1,0-1,0-1,,,,,,
Capcom Fighting Evolution,XB,2005,Fighting,Capcom,0-1,0-1,0-1,0-1,0-1,60-61,19-20,,,Capcom,T
Gray Matter,X360,2011,Adventure,DTP Entertainment,0-1,0-1,0-1,0-1,0-1,,,,,,
Call of Duty: Modern Warfare Trilogy,X360,2016,Shooter,Activision,0-1,0-1,0-1,0-1,0-1,,,,,Infinity Ward,M
Riding Stables: The Whitakers present Milton and Friends,3DS,2011,Sports,DTP Entertainment,0-1,0-1,0-1,0-1,0-1,,,,,,
World Poker Tour,PSP,2006,Misc,Take-Two Interactive,0-1,0-1,0-1,0-1,0-1,67-68,13-14,,,Coresoft,T
Barnyard,Wii,2006,Action,THQ,0-1,0-1,0-1,0-1,0-1,64-65,14-15,6.0,0-500,Blue Tongue Entertainment,E10+
Paws & Claws: Regal Resort,DS,2010,Simulation,THQ,0-1,0-1,0-1,0-1,0-1,,,,,,
Mazes of Fate DS,DS,2008,Role-Playing,Graffiti,0-1,0-1,0-1,0-1,0-1,,,,,Sabarasa Entertainment,T
Novastorm,PS,1995,Shooter,Psygnosis,0-1,0-1,0-1,0-1,0-1,,,,,,
Shiren the Wanderer 4 - God's Eye and the Demon's Navel,PSP,2012,Role-Playing,Spike,0-1,0-1,0-1,0-1,0-1,,,,,,
PopCap Arcade Vol 1,X360,2007,Puzzle,PopCap Games,0-1,0-1,0-1,0-1,0-1,,,,,PopCap,E
Test Drive: Ferrari Legends,PS3,2012,Racing,Unknown,0-1,0-1,0-1,0-1,0-1,61-62,18-19,5.0,0-500,"Atari, Slightly Mad Studios, Atari SA",E
Heroes of Might and Magic V,PC,2006,Strategy,Ubisoft,0-1,0-1,0-1,0-1,0-1,76-77,40-41,8.0,0-500,Nival Interactive,T
Dead Ball Zone,PS,1998,Sports,GT Interactive,0-1,0-1,0-1,0-1,0-1,,,,,,
NBA in the Zone 2000,N64,2000,Sports,Konami Digital Entertainment,0-1,0-1,0-1,0-1,0-1,,,,,,
Winning Post World 2010,PS3,2010,Sports,Tecmo Koei,0-1,0-1,0-1,0-1,0-1,,,,,,
NBA In The Zone '99,N64,1998,Sports,Konami Digital Entertainment,0-1,0-1,0-1,0-1,0-1,,,,,,
Do-Konjou Shougakussei: Bon Bita - Hadaka no Choujou Ketsusen!! Bita vs. Dokuro Dei!,DS,2010,Action,Namco Bandai Games,0-1,0-1,0-1,0-1,0-1,,,,,,
World Series Baseball,SAT,1994,Sports,Sega,0-1,0-1,0-1,0-1,0-1,,,,,,
Haunted Casino,SAT,1996,Adventure,Societa,0-1,0-1,0-1,0-1,0-1,,,,,,
Metal Gear Solid: Digital Graphic Novel,PSP,2006,Misc,Konami Digital Entertainment,0-1,0-1,0-1,0-1,0-1,77-78,21-22,7.0,0-500,Kojima Productions,M
Ou to Maou to 7-nin no Himegimitachi: Shin Ousama Monogatari,PSV,2012,Action,Konami Digital Entertainment,0-1,0-1,0-1,0-1,0-1,,,,,,
Aeon Flux,PS2,2005,Action,THQ,0-1,0-1,0-1,0-1,0-1,65-66,18-19,6.0,0-500,Terminal Reality,T
MLB 2K12 / NBA 2K12 Combo Pack,X360,2012,Sports,Take-Two Interactive,0-1,0-1,0-1,0-1,0-1,,,,,,
Age of Mythology: The Titans,PC,2003,Strategy,Microsoft Game Studios,0-1,0-1,0-1,0-1,0-1,83-84,24-25,9.0,0-500,Ensemble Studios,T
Chicken Blaster,DS,2009,Shooter,Zushi Games,0-1,0-1,0-1,0-1,0-1,,,,,Zoo Games,E10+
S.Y.K Renshouden Portable,PSP,2011,Adventure,Idea Factory,0-1,0-1,0-1,0-1,0-1,,,,,,
Psycho-Pass: Mandatory Happiness,PS4,2016,Adventure,Nippon Ichi Software,0-1,0-1,0-1,0-1,0-1,71-72,25-26,8.0,0-500,5pb,T
Arctic Tale,Wii,2007,Adventure,Zoo Digital Publishing,0-1,0-1,0-1,0-1,0-1,,,,,Atomic Planet Entertainment,E
Virtua Tennis 4,PC,2011,Sports,Sega,0-1,0-1,0-1,0-1,0-1,65-66,4-5,7.0,0-500,Sega,E
Metal Max Returns,SNES,1995,Role-Playing,Data East,0-1,0-1,0-1,0-1,0-1,,,,,,
Shattered Union,XB,2005,Strategy,Take-Two Interactive,0-1,0-1,0-1,0-1,0-1,65-66,16-17,7.0,0-500,PopTop Software,T
GRID,PC,N/A,Racing,Codemasters,0-1,0-1,0-1,0-1,0-1,86-87,24-25,8.0,0-500,Codemasters,E
Monster High: New Ghoul in School,PS3,2015,Action,Little Orbit,0-1,0-1,0-1,0-1,0-1,,,,,"Torus Games, Little Orbit",E
Hanaoni: Yume no Tsudzuki,PSP,2012,Action,Idea Factory,0-1,0-1,0-1,0-1,0-1,,,,,,
Mat Hoffman's Pro BMX 2,GC,2002,Sports,Activision,0-1,0-1,0-1,0-1,0-1,69-70,11-12,,,Rainbow Studios,T
Deadliest Warrior: Ancient Combat,PS3,2012,Fighting,Cloud Imperium Games Corporation,0-1,0-1,0-1,0-1,0-1,,,,,"Pipeworks Software, Inc.",M
Unchained Blades ,3DS,2011,Role-Playing,FuRyu,0-1,0-1,0-1,0-1,0-1,64-65,7-8,8.0,0-500,FuRyu,T
Terraria,XOne,2014,Action,505 Games,0-1,0-1,0-1,0-1,0-1,83-84,4-5,8.0,0-500,Engine Software,T
Dolly Kanon Dokidoki Tokimeki Himitsu no Ongaku Katsudou Start Desu!!,3DS,2014,Adventure,Happinet,0-1,0-1,0-1,0-1,0-1,,,,,,
Company of Heroes: Opposing Fronts,PC,2007,Strategy,THQ,0-1,0-1,0-1,0-1,0-1,86-87,35-36,9.0,0-500,Relic,M
Gal*Gun,X360,2011,Shooter,Alchemist,0-1,0-1,0-1,0-1,0-1,,,,,,
Black & White,PC,2001,Strategy,Electronic Arts,0-1,0-1,0-1,0-1,0-1,,,,,,
NHL Hitz Pro,GC,N/A,Sports,Unknown,0-1,0-1,0-1,0-1,0-1,80-81,14-15,8.0,0-500,Next Level Games,E
Ookami Kakushi,PSP,2009,Action,Konami Digital Entertainment,0-1,0-1,0-1,0-1,0-1,,,,,,
 Haikyu!! Cross Team Match!,3DS,2016,Adventure,Namco Bandai Games,0-1,0-1,0-1,0-1,0-1,,,,,,
Gormiti: The Lords of Nature!,Wii,2010,Adventure,Konami Digital Entertainment,0-1,0-1,0-1,0-1,0-1,,,,,,
North American Hunting Extravaganza 2,Wii,2010,Sports,Unknown,0-1,0-1,0-1,0-1,0-1,,,,,,
Zen-Nippon GT Senshuken,SNES,1995,Racing,Banpresto,0-1,0-1,0-1,0-1,0-1,,,,,,
Monaco Grand Prix,N64,1999,Racing,Ubisoft,0-1,0-1,0-1,0-1,0-1,,,,,,
Worms Armageddon,N64,1999,Strategy,Infogrames,0-1,0-1,0-1,0-1,0-1,,,,,,
Rally Challenge 2000,N64,1999,Racing,Imagineer,0-1,0-1,0-1,0-1,0-1,,,,,,
Looney Tunes Duck Dodgers Starring: Daffy Duck,N64,2000,Platform,Infogrames,0-1,0-1,0-1,0-1,0-1,,,,,,
PD Ultraman Battle Collection 64,N64,1999,Strategy,Namco Bandai Games,0-1,0-1,0-1,0-1,0-1,,,,,,
Deadly Arts,N64,1998,Fighting,Konami Digital Entertainment,0-1,0-1,0-1,0-1,0-1,,,,,,
Superman: Countdown to Apokolips,GBA,2003,Platform,Atari,0-1,0-1,0-1,0-1,0-1,46-47,4-5,6.0,0-500,Mistic Software,E
Sengoku Musou 3 Z Special,PSP,2012,Action,Ackkstudios,0-1,0-1,0-1,0-1,0-1,,,,,,
Kikou Heidan J-Phoenix 2,PS2,2003,Action,Takara,0-1,0-1,0-1,0-1,0-1,,,,,,
Ben 10 Galactic Racing,PSV,2012,Racing,D3Publisher,0-1,0-1,0-1,0-1,0-1,,,4.0,0-500,Monkey Bar Games,E
Dragon's Lair 3D: Return to the Lair,GC,2002,Platform,THQ,0-1,0-1,0-1,0-1,0-1,,,,,,
Harukanaru Toki no Naka de 5,PSP,2011,Role-Playing,Tecmo Koei,0-1,0-1,0-1,0-1,0-1,,,,,,
Worms 4: Mayhem,XB,2005,Strategy,Codemasters,0-1,0-1,0-1,0-1,0-1,68-69,26-27,9.0,0-500,Team 17,T
Winning Post 7 2012,PSP,2012,Sports,Ackkstudios,0-1,0-1,0-1,0-1,0-1,,,,,,
Rise of Nations,PC,2003,Strategy,Microsoft Game Studios,0-1,0-1,0-1,0-1,0-1,88-89,29-30,9.0,0-500,Big Huge Games,T
Who Wants to Be a Millionaire: 3rd Edition,DS,2010,Misc,Ubisoft,0-1,0-1,0-1,0-1,0-1,,,,,Ludia Inc.,E
Point Blank 2,PS,1998,Shooter,Namco Bandai Games,0-1,0-1,0-1,0-1,0-1,,,,,,
Saru! Get You! Pipo Saru Senki,PSP,2009,Role-Playing,Sony Computer Entertainment,0-1,0-1,0-1,0-1,0-1,,,,,,
Men of War: Vietnam,PC,2011,Strategy,Unknown,0-1,0-1,0-1,0-1,0-1,67-68,18-19,5.0,0-500,Best Way,T
J.League Pro Soccer Club o Tsukurou! 8 Euro Plus,PSP,2013,Sports,Sega,0-1,0-1,0-1,0-1,0-1,,,,,,
Imperial Glory,PC,2005,Strategy,Eidos Interactive,0-1,0-1,0-1,0-1,0-1,68-69,27-28,8.0,0-500,Pyro Studios,T
Imabikisou,PS3,2007,Adventure,Sega,0-1,0-1,0-1,0-1,0-1,,,,,,
Hakuouki: Reimeiroku Portable,PSP,2011,Adventure,Idea Factory,0-1,0-1,0-1,0-1,0-1,,,,,,
Sega Ages 2500 Series Vol. 33: Fantasy Zone Complete Collection,PS2,2008,Shooter,Sega,0-1,0-1,0-1,0-1,0-1,,,,,,
Antz Extreme Racing,PS2,2002,Racing,Empire Interactive,0-1,0-1,0-1,0-1,0-1,30-31,4-5,5.0,0-500,Empire Interactive,E
Motto TOEIC Test DS Training,DS,2008,Misc,IE Institute,0-1,0-1,0-1,0-1,0-1,,,,,,
Super Robot Gakuen,DS,2009,Adventure,Namco Bandai Games,0-1,0-1,0-1,0-1,0-1,,,,,,
Atelier Iris 3: Grand Phantasm (JP Sales),PS2,2006,Role-Playing,Tecmo Koei,0-1,0-1,0-1,0-1,0-1,,,,,,
Ape Escape,PS3,2010,Platform,Sony Computer Entertainment,0-1,0-1,0-1,0-1,0-1,,,,,,
Jojo's Fashion Show: Design in a Dash!,DS,2009,Simulation,Ubisoft,0-1,0-1,0-1,0-1,0-1,,,,,,
Mike Tyson Boxing,GBA,2002,Sports,Ubisoft,0-1,0-1,0-1,0-1,0-1,43-44,7-8,,,Virtucraft,E
The Legend of Heroes: Trails in the Sky First Chapter,PS3,2012,Role-Playing,Falcom Corporation,0-1,0-1,0-1,0-1,0-1,,,,,,
Go Diego Go!: Safari Rescue,PS2,2008,Action,Take-Two Interactive,0-1,0-1,0-1,0-1,0-1,,,,,,
System 3 presents Ferrari Challenge Trofeo Pirelli,DS,2008,Racing,System 3 Arcade Software,0-1,0-1,0-1,0-1,0-1,,,,,,
Samurai Warriors 2: Empires,X360,2007,Action,Tecmo Koei,0-1,0-1,0-1,0-1,0-1,52-53,28-29,8.0,0-500,Omega Force,T
Metal Slug XX,PSP,2009,Shooter,DHM Interactive,0-1,0-1,0-1,0-1,0-1,66-67,21-22,6.0,0-500,SNK Playmore,T
Clannad,PS2,2006,Adventure,Interchannel,0-1,0-1,0-1,0-1,0-1,,,,,,
Patrician IV,PC,2010,Strategy,Kalypso Media,0-1,0-1,0-1,0-1,0-1,65-66,17-18,6.0,0-500,Gaming Minds Studios,E
Katekyoo Hitman Reborn! Battle Arena 2 - Spirits Burst,PSP,2009,Fighting,Marvelous Interactive,0-1,0-1,0-1,0-1,0-1,,,,,,
Fisherman's Challenge,PS2,2003,Sports,Konami Digital Entertainment,0-1,0-1,0-1,0-1,0-1,66-67,6-7,8.0,0-500,Konami,E
Mission: Impossible - Operation Surma,GBA,2003,Platform,Atari,0-1,0-1,0-1,0-1,0-1,41-42,15-16,,,M4 Limited,T
Akko ni Omakase! Brain Shock,DS,2006,Misc,Taito,0-1,0-1,0-1,0-1,0-1,,,,,,
Platinum Sudoku,DS,2007,Puzzle,Ubisoft,0-1,0-1,0-1,0-1,0-1,,,,,Gameloft,E
Resident Evil: Revelations,PC,2013,Action,Capcom,0-1,0-1,0-1,0-1,0-1,76-77,11-12,7.0,0-500,Capcom,M
King of Fighters: Maximum Impact Regulation A,PS2,2007,Fighting,SNK Playmore,0-1,0-1,0-1,0-1,0-1,,,,,,
Date A Live: Rine Utopia,PS3,2013,Adventure,Compile Heart,0-1,0-1,0-1,0-1,0-1,,,,,,
Durarara!! 3way Standoff: Alley,PSP,2011,Adventure,Kadokawa Shoten,0-1,0-1,0-1,0-1,0-1,,,,,,
Gummy Bears Mini Golf,Wii,2010,Sports,Unknown,0-1,0-1,0-1,0-1,0-1,,,,,,
The Da Vinci Code,XB,2006,Action,Take-Two Interactive,0-1,0-1,0-1,0-1,0-1,51-52,33-34,3.0,0-500,Double Helix Games,T
Monster Band,DS,2008,Misc,Tivola,0-1,0-1,0-1,0-1,0-1,,,,,Novarama,E
Famicom Mini: Clu Clu Land,GBA,2004,Puzzle,Nintendo,0-1,0-1,0-1,0-1,0-1,,,,,,
Super Black Bass Fishing,DS,2005,Sports,Majesco Entertainment,0-1,0-1,0-1,0-1,0-1,34-35,5-6,,,Starfish,E
Sacred Blaze,PS2,2009,Strategy,Flight-Plan,0-1,0-1,0-1,0-1,0-1,,,,,,
Painkiller: Hell & Damnation,PS3,2013,Shooter,Nordic Games,0-1,0-1,0-1,0-1,0-1,,,,,,
Rollin' Rascals,DS,2009,Puzzle,Rising Star Games,0-1,0-1,0-1,0-1,0-1,,,,,Hoget,E
Haneru no Tobira DS: Tanshuku Tetsudou no Yoru,DS,2007,Misc,Namco Bandai Games,0-1,0-1,0-1,0-1,0-1,,,,,,
Pure Pinball,XB,2004,Misc,XS Games,0-1,0-1,0-1,0-1,0-1,67-68,10-11,8.0,0-500,Iridon Interactive AB,E
Thoroughbred Breeder II Plus,PS,1995,Simulation,Hect,0-1,0-1,0-1,0-1,0-1,,,,,,
Hanaoni: Koisomeru Koku - Eikyuu no Shirushi,PSP,2011,Adventure,Idea Factory,0-1,0-1,0-1,0-1,0-1,,,,,,
Zac to Ombra: Maboroshi no Yuuenchi,DS,2010,Adventure,Konami Digital Entertainment,0-1,0-1,0-1,0-1,0-1,,,,,,
Shadow of the Colossus,PS3,2011,Action,Sony Computer Entertainment,0-1,0-1,0-1,0-1,0-1,,,8.0,0-500,Bluepoint Games,T
Phantom Breaker,X360,2011,Fighting,5pb,0-1,0-1,0-1,0-1,0-1,,,,,Delta Factory,T
Daikaijuu Battle: Ultra Coliseum DX - Ultra Senshi Daishuuketsu,Wii,2010,Fighting,Namco Bandai Games,0-1,0-1,0-1,0-1,0-1,,,,,,
BlazBlue: Chrono Phantasma Extend,PS3,2015,Action,PQube,0-1,0-1,0-1,0-1,0-1,,,8.0,0-500,Arc System Works,T
Valhalla Knights 2: Battle Stance,PSP,2009,Role-Playing,Marvelous Interactive,0-1,0-1,0-1,0-1,0-1,,,,,K2,E10+
Yuki Yuna is a Hero: Memory of the Forest,PSV,2015,Action,FuRyu,0-1,0-1,0-1,0-1,0-1,,,,,,
99 no Namida,DS,2008,Adventure,Namco Bandai Games,0-1,0-1,0-1,0-1,0-1,,,,,,
Cyber Troopers Virtual-On Marz,PS2,2003,Fighting,Sega,0-1,0-1,0-1,0-1,0-1,,,,,,
Ookami to Koushinryou: Boku to Horo no Ichinen,DS,2008,Adventure,ASCII Media Works,0-1,0-1,0-1,0-1,0-1,,,,,,
Clannad,PSP,2008,Adventure,Prototype,0-1,0-1,0-1,0-1,0-1,,,,,,
Headhunter: Redemption,PS2,2004,Action,Sega,0-1,0-1,0-1,0-1,0-1,61-62,28-29,7.0,0-500,Amuze,M
Stuntman,GBA,2003,Racing,Atari,0-1,0-1,0-1,0-1,0-1,76-77,7-8,,,Atari,E
The Chase: Felix Meets Felicity,DS,2009,Action,Atari,0-1,0-1,0-1,0-1,0-1,58-59,8-9,,,Razorback Developments,E
Time Travelers,3DS,2012,Adventure,Unknown,0-1,0-1,0-1,0-1,0-1,,,,,,
WSC Real 11: World Snooker Championship,X360,2011,Sports,Koch Media,0-1,0-1,0-1,0-1,0-1,,,,,,
Dead Rising,PS4,2016,Action,Capcom,0-1,0-1,0-1,0-1,0-1,77-78,5-6,7.0,0-500,Capcom,M
Luxor: Pharaoh's Challenge,Wii,N/A,Puzzle,Funsta,0-1,0-1,0-1,0-1,0-1,,,,,MumboJumbo,E
Grand Theft Auto: Vice City,PC,2003,Action,Take-Two Interactive,0-1,0-1,0-1,0-1,0-1,93-94,29-30,9.0,1500-2000,Rockstar North,M
Doraemon: Shin Nobita no Nihon Tanjou,3DS,2016,Misc,FuRyu,0-1,0-1,0-1,0-1,0-1,,,,,,
Syndicate Wars,PS,1997,Strategy,Electronic Arts,0-1,0-1,0-1,0-1,0-1,,,,,,
Sonic PC Collection,PC,2009,Misc,Sega,0-1,0-1,0-1,0-1,0-1,,,,,,
Surf's Up,PS3,2007,Sports,Ubisoft,0-1,0-1,0-1,0-1,0-1,58-59,7-8,5.0,0-500,Ubisoft Montreal,E10+
DuckTales: Remastered,X360,2013,Action,Capcom,0-1,0-1,0-1,0-1,0-1,,,,,,
Draglade (JP sales),DS,2007,Fighting,505 Games,0-1,0-1,0-1,0-1,0-1,,,,,,
Herc's Adventures,PS,1997,Action,Virgin Interactive,0-1,0-1,0-1,0-1,0-1,,,,,,
Tiger Woods PGA Tour Golf,GBA,2002,Sports,Ubisoft,0-1,0-1,0-1,0-1,0-1,,,,,Rebellion,E
SWAT: Target Liberty,PSP,2007,Shooter,Vivendi Games,0-1,0-1,0-1,0-1,0-1,49-50,25-26,8.0,0-500,3G Studios,T
Twin Strike: Operation Thunder,Wii,2008,Shooter,Zoo Games,0-1,0-1,0-1,0-1,0-1,49-50,6-7,8.0,0-500,Naps Team,E10+
CSI: Fatal Conspiracy,PC,2010,Adventure,Ubisoft,0-1,0-1,0-1,0-1,0-1,46-47,4-5,6.0,0-500,Telltale Games,M
Bomberman: Act Zero,X360,2006,Puzzle,Konami Digital Entertainment,0-1,0-1,0-1,0-1,0-1,33-34,40-41,2.0,0-500,Hudson,T
All Points Bulletin,PC,2010,Role-Playing,Electronic Arts,0-1,0-1,0-1,0-1,0-1,,,,,,
Empire Earth III,PC,2007,Strategy,Vivendi Games,0-1,0-1,0-1,0-1,0-1,49-50,39-40,3.0,0-500,Mad Doc Software,T
Astro Boy: The Video Game,PSP,2009,Action,D3Publisher,0-1,0-1,0-1,0-1,0-1,59-60,5-6,,,High Voltage Software,E10+
The Sims 4: Spa Day,PC,2015,Simulation,Electronic Arts,0-1,0-1,0-1,0-1,0-1,,,8.0,0-500,Maxis,T
Hannspree Ten Kate Honda: SBK Superbike World Championship,PSP,2007,Racing,Black Bean Games,0-1,0-1,0-1,0-1,0-1,,,,,Milestone S.r.l,E10+
Game of Thrones (Telltale),PS3,2015,Adventure,Telltale Games,0-1,0-1,0-1,0-1,0-1,,,,,,
Resident Evil: Operation Raccoon City,PC,2012,Action,Capcom,0-1,0-1,0-1,0-1,0-1,47-48,7-8,4.0,0-500,Slant Six,M
Hyperdimension Neptunia Victory II,PS4,2015,Role-Playing,Idea Factory International,0-1,0-1,0-1,0-1,0-1,,,,,,
Free Running,Wii,2009,Sports,Reef Entertainment,0-1,0-1,0-1,0-1,0-1,,,,,Rebellion,T
Tsurugi no Machi no Ihoujin: Kuro no Kyuuden,PSV,2015,Role-Playing,Experience Inc.,0-1,0-1,0-1,0-1,0-1,,,,,,
Dreamfall: The Longest Journey,XB,2006,Adventure,Empire Interactive,0-1,0-1,0-1,0-1,0-1,72-73,41-42,9.0,0-500,Funcom,M
Tokimeki Mahjong Paradise: Koi no Tenpai Beat,SAT,1995,Misc,Sonnet,0-1,0-1,0-1,0-1,0-1,,,,,,
Blue Roses: Yousei to Aoi Hitomi no Senshitachi,PSP,2010,Adventure,Nippon Ichi Software,0-1,0-1,0-1,0-1,0-1,,,,,,
Kidou Gekidan Haro Ichiza Gundam Mahjong DS: Oyaji nimo Agarareta koto nai noni!,DS,2005,Misc,Namco Bandai Games,0-1,0-1,0-1,0-1,0-1,,,,,,
